name,price,score,reviews amount,review
Holiday Palanga Sea Side,€ 63,8.9,98,Excellent
For you,€ 56,9.1,43,Wonderful
My family,€ 82,9.5,151,Exceptional
Poilsio Laboratorija 3K,€ 61,9.0,36,Wonderful
Apartamentai Liepų take,€ 116,9.8,24,Exceptional
Alanga apartments,€ 64,9.6,8,Exceptional
Vila Vakaré,€ 63,8.5,137,Very Good
Green House,€ 127,8.8,44,Excellent
Palanga-Apartamentai,€ 81,9.3,28,Wonderful
Butukai,€ 40,9.0,122,Wonderful
Apartment Amber Wind,€ 65,9.3,65,Wonderful
GreenRoom Kunigiškės,€ 102,9.6,98,Exceptional
Svečių Apartamentai Vanagupėje,€ 41,9.3,89,Wonderful
Vila Romantika,€ 70,9.8,156,Exceptional
JANINA,€ 53,10E,1,xceptional
Comfort Hostel Palanga,€ 122,8.6,35,Excellent
Medziotoju Apartments,€ 73,9.6,115,Exceptional
Andzelos Apartament,€ 38,8.5,53,Very Good
Bella luna vila Palanga with forest view,€ 108,9.8,6,Exceptional
Geltoni apartamentai,€ 44,9.5,162,Exceptional
BIMBA,€ 153,9.5,45,Exceptional
Apartamentai Druskininkų 7B,€ 58,9.6,300,Exceptional
Sveciu Namas 9,€ 70,9.3,118,Wonderful
Grey Red Apartments,€ 66,9.4,82,Wonderful
Mėguvos butai,€ 67,8.6,53,Excellent
NeriesApartment No.2 Bedrooms Modern Suite In Centrum,€ 89,9.4,61,Wonderful
Amsterdam Residence Hotel,€ 63,9.2,16,Wonderful
Amber drop,€ 62,9.7,344,Exceptional
Black Gold Apartments,€ 126,9.5,4,Exceptional
Vila Elvina,€ 57,9.3,356,Wonderful
MANDALOS vila,€ 143,9.7,3,Exceptional
P7 Palanga,€ 50,8.6,113,Excellent
Apartment Amber Sky,€ 75,9.5,79,Exceptional
RR apartamentai Palangos centre,€ 88,9.5,30,Exceptional
Vila Elegancija,€ 129,8.8,106,Excellent
Amsterdam Residence,€ 71,8.6,14,Excellent
Ramybės Oazė,€ 76,9.3,3,Wonderful
AMI Penthouse,€ 142,9.7,20,Exceptional
Palanga Center Studios,€ 72,9.3,84,Wonderful
Izabelės apartamentai. Butas - studija,€ 63,9.5,14,Exceptional
Vėžių g 26 K5-12,€ 70,9.7,13,Exceptional
Hotel Pušų paunksnėje,€ 251,9.6,365,Exceptional
Plytų g. Apartamentai,€ 96,8.9,9,Excellent
Carpe diem,€ 74,8.3,28,Very Good
Žiogų apartamentas,€ 57,9.6,25,Exceptional
"Namelis ,,Gilė”",€ 58,10E,12,xceptional
Apartamentai Vanagupės rajone,€ 32,8.8,257,Excellent
Tatjanos apartamentai,€ 56,9.4,88,Wonderful
Vyturiai - naujų apartamentų nuoma Šventojoje,€ 52,8.9,44,Excellent
VILA SATERA,€ 169,9.0,3,Wonderful
Rest in Palanga,€ 44,8.7,518,Excellent
Vila Vakaré,€ 63,8.5,137,Very Good
Green House,€ 127,8.8,44,Excellent
Apartments in Palanga,€ 78,8.6,5,Excellent
"Vila""Anna""",€ 47,8.2,448,Very Good
Vila Romantika,€ 70,9.8,156,Exceptional
Medziotoju Apartments,€ 73,9.6,115,Exceptional
NeriesApartment Two Bedrooms Resort Suite iN Centrum,€ 85,10E,1,xceptional
Vila „Prie tvenkinio“,€ 74,8.2,23,Very Good
Family Apartment,€ 87,9.7,7,Exceptional
Vėžių g 26 K5-11 buto nuoma,€ 59,9.5,19,Exceptional
Sea House 2N,€ 252,9.9,8,Exceptional
Apartamentai Druskininkų 7B,€ 58,9.6,300,Exceptional
Palangos vėžiukas,€ 52,9.3,6,Wonderful
Sveciu Namas 9,€ 70,9.3,118,Wonderful
Pas Solą,€ 66,9.7,15,Exceptional
NeriesApartment No.1 Holidays By J. Basanaviciaus,€ 84,8.7,16,Excellent
Palangos vėžiukas,€ 52,9.3,6,Wonderful
Pas Solą,€ 66,9.7,15,Exceptional
NeriesApartment No.1 Holidays By J. Basanaviciaus,€ 84,8.7,16,Excellent
Vaivorykštės namai,€ 120,9.4,33,Wonderful
Gėlių apartamentai,€ 59,9.8,56,Exceptional
AMI Vanagupės forest,€ 152,9.4,19,Wonderful
"Svečių namai Tuopa, Palanga",€ 45,9.0,1,Wonderful
Apartment Ieva,€ 85,9.6,38,Exceptional
A.R.B,€ 275,8.5,2,Very Good
LivingPalanga Meta5,€ 54,8.6,28,Excellent
Mėlyna jūra apartamentai,€ 111,10E,2,xceptional
Poilsio Laboratorija 3,€ 65,9.5,33,Exceptional
Modern Loft Garage - Mano Jura,€ 145,10E,2,xceptional
Butukas Palangoje,€ 65,9.0,4,Wonderful
Šeimos Apartamentai Namų Jaukumas,€ 54,9.1,15,Wonderful
6_banga,€ 153,10E,26,xceptional
Info Hotel Apartments,€ 46,7.8,180,Good
Atostogauk dabar!,€ 97,8.4,16,Very Good
Pajūrio krantas Šventojoje,€ 71,7.6,13,Good
"Gyvenamas namas su atskiru įėjimu svečiams. 2 aukštas, 2 kambariai (4miegamos vietos), vienas iš jų su virtuve, atskiras wc, dušas",€ 101,4.0,2,Review score
Elija Apartment,€ 145,8.1,8,Very Good
Butukai,€ 40,9.0,122,Wonderful
Vila Elena,€ 54,9.3,131,Wonderful
Medziotoju Apartments,€ 73,9.6,115,Exceptional
Info Hotel Apartments,€ 46,7.8,180,Good
Zidinio Liepsnele,€ 92,9.7,60,Exceptional
Guest House Aštuoni,€ 119,9.5,191,Exceptional
Irenos Svetaine,€ 47,9.4,203,Wonderful
Žuvėdra,€ 302,8.7,"2,289",Excellent
Apartamentai Tylios pušys,€ 102,8.8,84,Excellent
